cell_id,p_hotspot_next
3479.0_322.0,0.13218576
3559.0_197.0,0.13215426
3604.0_287.0,0.13188249
3649.0_212.0,0.13171461
3419.0_412.0,0.13164362
3539.0_422.0,0.131579
3529.0_397.0,0.1315258
3504.0_432.0,0.13126399
3489.0_422.0,0.13112669
3544.0_337.0,0.1311019
3569.0_412.0,0.13078476
3489.0_367.0,0.13069244
3519.0_437.0,0.13056768
3494.0_457.0,0.13040632
3549.0_397.0,0.13039243
3554.0_417.0,0.13025953
3569.0_322.0,0.13002284
3644.0_227.0,0.1296521
3659.0_232.0,0.12948434
3644.0_212.0,0.1292768
3464.0_307.0,0.12923025
3519.0_427.0,0.1289768
3624.0_237.0,0.12855421
3564.0_347.0,0.12843971
3564.0_232.0,0.12810455
3569.0_232.0,0.12806728
3489.0_297.0,0.12799731
3469.0_297.0,0.12794158
3544.0_437.0,0.12791629
3549.0_292.0,0.1277058
3454.0_422.0,0.12768759
3519.0_407.0,0.12763895
3589.0_267.0,0.12762824
3489.0_412.0,0.12757277
3479.0_272.0,0.12745586
3624.0_282.0,0.12740424
3479.0_297.0,0.12712145
3544.0_292.0,0.12707874
3559.0_322.0,0.12693468
3584.0_302.0,0.12677997
3644.0_232.0,0.12676364
3564.0_297.0,0.12652802
3579.0_422.0,0.12634294
3564.0_397.0,0.1261868
3594.0_197.0,0.12618198
3419.0_407.0,0.12605214
3554.0_322.0,0.12597382
3524.0_377.0,0.12590763
3624.0_147.0,0.12570883
3474.0_337.0,0.12570877
3619.0_157.0,0.12532295
3649.0_217.0,0.12529315
3644.0_162.0,0.1251962
3459.0_427.0,0.124910735
3449.0_342.0,0.12480734
3604.0_132.0,0.12475803
3464.0_437.0,0.12451084
3474.0_312.0,0.12443714
3484.0_317.0,0.124159515
3584.0_272.0,0.12405002
3434.0_412.0,0.124012806
3459.0_432.0,0.12399062
3564.0_457.0,0.12391715
3584.0_207.0,0.123751484
3634.0_217.0,0.1236084
3584.0_307.0,0.1236004
3414.0_402.0,0.12355772
3569.0_407.0,0.12336197
3644.0_242.0,0.12316201
3579.0_282.0,0.12311001
3579.0_257.0,0.1229207
3649.0_232.0,0.1226947
3629.0_177.0,0.122563206
3579.0_287.0,0.1224733
3604.0_172.0,0.12244712
3489.0_327.0,0.122005664
3479.0_457.0,0.12162747
3454.0_407.0,0.121618055
3599.0_327.0,0.12148289
3564.0_272.0,0.12140042
3614.0_182.0,0.12106926
3484.0_407.0,0.12079345
3569.0_397.0,0.12067296
3584.0_202.0,0.12054859
3544.0_412.0,0.12054002
3569.0_272.0,0.120142214
3589.0_417.0,0.120029554
3589.0_237.0,0.11990157
3579.0_272.0,0.1196445
3584.0_312.0,0.11941786
3589.0_437.0,0.11936217
3474.0_307.0,0.11931454
3619.0_192.0,0.11919651
3609.0_177.0,0.11916037
3644.0_172.0,0.11902646
3609.0_242.0,0.118990295
3559.0_287.0,0.11897259
3479.0_357.0,0.118891045
3614.0_122.0,0.118827485
3619.0_247.0,0.11874911
3594.0_172.0,0.118716925
